id,province,carcolour,hp,gender,age,lic_years,pastclaims,exp_years
1523,FS,Yellow,331,1,21,2,1,0.402464066
1524,GP,Red,69,1,38,20,2,0.019164956
1525,WC,White,120,0,69,51,1,0.353182752
1526,WC,White,57,0,29,11,0,0.31211499
1527,EC,Red,103,0,85,67,5,0.016427105
1528,MP,Red,127,1,59,41,0,0.273785079
1529,WC,Yellow,156,1,41,22,1,0.005475702
1530,MP,Black,78,0,38,20,1,0.041067762
1531,GP,White,72,1,83,65,1,0.339493498
1532,NW,White,197,0,46,27,0,0.216290212
1534,WC,Blue,141,0,31,13,1,0.054757016
1535,NW,Red,139,0,53,32,0,0.186173854
1536,WC,Red,101,0,68,50,2,0.038329911
1537,WC,Red,129,0,35,17,3,0.030116359
1538,EC,Red,214,0,59,40,1,0.481861739
1539,NW,White,122,0,46,28,1,0.082135524
1540,GP,Red,68,0,40,22,2,0.325804244
1541,EC,White,139,0,73,55,0,0.424366872
1542,FS,Red,196,0,22,3,3,0.238193018
1543,FS,Red,150,1,63,45,0,0.48733744
1545,KZN,Green,125,0,62,44,0,0.353182752
1546,GP,White,80,0,81,62,1,0.240930869
1547,NW,Blue,105,0,40,20,1,0.150581793
1548,WC,White,177,1,30,11,1,0.164271047
1549,WC,Red,160,1,69,51,1,0.265571526
1550,KZN,Blue,175,0,32,13,2,0.350444901
1551,NW,Black,47,1,25,6,2,0.429842574
1552,WC,Black,135,0,25,7,3,0.098562628
1553,GP,Green,168,0,31,13,2,0.17522245
1554,GP,Blue,172,0,35,17,1,0.177960301
1555,WC,Black,94,0,80,62,0,0.273785079
1556,KZN,Red,96,1,26,7,1,0.454483231
1557,GP,White,164,1,50,31,0,0.391512663
1558,EC,Black,123,0,34,16,1,0.049281314
1559,GP,Red,57,0,61,42,0,0.268309377
1560,EC,Blue,151,1,24,6,1,0.167008898
1561,FS,Silver,144,0,36,18,0,0.082135524
1562,FS,Black,274,0,66,47,1,0.344969199
1563,MP,White,150,0,52,33,1,0.060232717
1565,EC,Black,168,1,45,27,2,0.010951403
1566,GP,White,151,1,26,7,1,0.48733744
1567,FS,Black,140,1,62,44,0,0.150581793
1568,EC,Green,105,1,20,2,1,0.032854209
1569,GP,Green,134,0,40,22,1,0.325804244
1570,GP,Red,137,1,82,63,1,0.183436003
1571,KZN,White,97,0,21,3,1,0.251882272
1572,WC,Red,169,1,21,3,1,0.046543463
1573,KZN,White,155,1,45,26,1,0.024640657
1575,EC,Black,161,0,26,7,1,0.342231348
1576,KZN,Silver,131,0,43,24,1,0.331279945
1577,EC,White,289,0,36,16,0,0.20807666
1578,NW,Black,154,1,74,56,1,0.10403833
1579,GP,Black,57,0,30,11,1,0.213552361
1580,MP,White,119,0,27,7,1,0.45174538
1581,WC,Red,79,1,50,32,0,0.210814511
1582,KZN,Black,181,0,64,46,0,0.125941136
1583,WC,Silver,133,1,43,25,0,0.076659822
1584,KZN,Yellow,168,1,86,67,1,0.010951403
1585,GP,White,193,0,49,31,0,0.48733744
1586,WC,Red,235,0,67,48,3,0.090349076
1587,EC,Blue,107,1,54,36,1,0.224503765
1588,KZN,Black,112,1,74,56,1,0.106776181
1589,FS,Black,116,1,42,23,0,0.106776181
1590,WC,White,88,0,23,5,0,0.320328542
1591,FS,White,125,1,61,43,3,0.257357974
1592,FS,White,87,1,31,13,0,0
1594,NC,White,171,1,52,33,2,0.435318275
1595,KZN,Red,410,0,36,17,3,0.358658453
1596,EC,White,91,0,35,16,1,0.260095825
1597,WC,Black,44,0,26,8,1,0.320328542
1598,KZN,Black,67,1,18,0,2,0.440793977
1599,KZN,Black,223,1,71,52,1,0.287474333
1600,WC,White,217,1,71,53,1,0.019164956
1601,FS,Red,193,0,45,25,1,0.402464066
1603,KZN,White,120,1,50,32,0,0.082135524
1604,GP,White,81,1,51,33,0,0.016427105
1605,WC,Black,77,1,66,48,1,0.180698152
1606,WC,Red,84,0,43,24,1,0.052019165
1607,WC,White,66,0,21,3,0,0.158795346
1608,KZN,Black,236,0,77,59,1,0.221765914
1609,MP,White,83,0,66,48,1,0.150581793
1610,EC,White,51,1,58,40,1,0.054757016
1611,KZN,Silver,87,0,85,67,0,0.246406571
1612,FS,White,197,0,55,36,0,0.396988364
1613,WC,Green,192,1,51,33,1,0.221765914
1614,KZN,Red,137,0,37,18,1,0.065708419
1615,KZN,White,97,1,24,5,0,0.479123888
1616,WC,White,98,1,82,62,1,0.399726215
1617,FS,White,82,0,26,7,1,0.049281314
1618,WC,White,132,0,74,55,1,0.344969199
1619,EC,Yellow,143,0,26,7,0,0.290212183
1620,GP,Red,94,0,25,7,0,0.358658453
1621,NW,White,106,0,30,12,0,0.284736482
1622,FS,Red,160,0,62,44,1,0.334017796
1623,NW,Red,61,0,61,43,1,0.375085558
1624,KZN,Green,111,1,25,6,2,0.005475702
1625,GP,Yellow,127,1,76,58,0,0.470910335
1626,KZN,Red,126,1,80,62,0,0.128678987
1627,FS,Red,141,0,31,13,1,0.399726215
1628,GP,White,230,0,34,16,1,0.224503765
1629,GP,White,157,1,33,15,2,0.249144422
1630,KZN,White,223,0,67,49,1,0.123203285
1631,FS,White,129,1,43,23,1,0.396988364
1632,WC,White,105,0,60,41,0,0.038329911
1633,KZN,Yellow,133,0,51,33,0,0.484599589
1634,GP,Green,194,1,54,35,1,0.093086927
1635,MP,White,109,0,60,41,2,0.210814511
1636,GP,Silver,89,1,60,42,1,0.240930869
1637,GP,White,47,0,21,2,1,0.005475702
1638,GP,Red,168,1,30,12,0,0.082135524
1639,GP,Blue,253,0,27,9,0,0.043805613
1640,GP,Red,149,0,22,4,0,0.065708419
1641,KZN,White,99,1,28,10,1,0.167008898
1642,WC,Silver,129,1,59,40,1,0.281998631
1643,NW,Blue,50,1,35,16,1,0.205338809
1644,EC,Red,129,0,24,4,2,0.17522245
1645,FS,Red,79,1,38,19,1,0.290212183
1646,EC,Silver,348,0,28,9,1,0.224503765
1647,WC,White,176,1,31,12,1,0.041067762
1648,NW,White,133,1,51,32,1,0.052019165
1649,GP,Silver,120,0,54,36,2,0.391512663
1650,GP,White,106,0,30,10,1,0.027378508
1651,KZN,White,138,1,70,52,3,0.024640657
1652,MP,Red,56,1,18,0,1,0.016427105
1653,KZN,Black,86,0,36,17,2,0.320328542
1654,EC,Red,126,1,68,50,1,0.377823409
1655,GP,Silver,187,1,41,23,2,0.473648186
1656,FS,White,56,0,73,55,2,0.062970568
1657,FS,Black,60,1,31,13,1,0.112251882
1658,KZN,Silver,150,1,52,33,3,0.342231348
1659,WC,White,195,1,73,54,0,0.260095825
1660,WC,White,77,0,27,9,0,0.20807666
1661,KZN,Red,136,1,21,3,0,0.369609856
1662,GP,Red,66,1,81,62,1,0.462696783
1663,EC,White,135,0,65,47,1,0.405201916
1664,MP,White,54,1,49,30,2,0.301163587
1665,WC,White,99,0,30,12,1,0.109514031
1666,EC,Red,64,0,35,16,1,0.325804244
1667,WC,White,101,1,56,38,0,0.232717317
1668,KZN,White,149,1,56,37,1,0.298425736
1669,WC,White,55,1,81,63,0,0.008213552
1670,WC,White,38,0,52,33,0,0.292950034
1671,NC,Red,292,1,24,5,1,0.336755647
1672,GP,Black,49,1,86,67,2,0.273785079
1673,GP,Silver,88,0,63,45,3,0.224503765
1674,WC,Blue,119,0,74,55,1,0.402464066
1675,WC,Green,112,0,20,2,1,0.065708419
1676,GP,White,155,1,60,42,1,0.344969199
1678,WC,Red,125,0,60,42,2,0.468172485
1679,WC,Black,105,0,40,21,0,0.364134155
1680,KZN,Red,95,0,32,14,1,0.355920602
1681,WC,Black,70,1,37,16,3,0.221765914
1682,FS,Green,157,1,39,21,1,0.10403833
1683,KZN,Red,72,0,42,23,0,0.030116359
1684,NW,Black,190,0,41,23,0,0.052019165
1685,KZN,Blue,100,0,21,3,0,0.041067762
1686,WC,Red,73,1,22,4,1,0.030116359
1687,WC,Black,45,0,29,11,3,0.060232717
1688,MP,Silver,70,0,54,36,0,0.101300479
1689,KZN,Red,225,0,22,3,0,0.098562628
1690,FS,White,66,1,20,1,0,0.057494867
1691,GP,Black,82,1,19,1,2,0.049281314
1692,WC,White,114,1,48,28,0,0.380561259
1693,WC,Green,58,0,60,42,1,0.224503765
1694,GP,Silver,255,1,86,68,3,0.093086927
1695,WC,Green,62,1,59,39,0,0.301163587
1696,GP,Yellow,85,0,62,44,1,0.479123888
1697,GP,Blue,143,1,52,33,0,0.465434634
1698,KZN,Silver,244,1,20,1,2,0.410677618
1699,GP,Black,139,0,40,22,0,0.443531828
1700,GP,Red,329,0,73,54,1,0.054757016
1701,MP,Black,243,0,33,14,1,0.402464066
1702,WC,Red,99,0,81,63,1,0.016427105
1703,GP,Silver,87,0,50,32,4,0.188911704
1704,WC,Red,107,0,61,43,1,0.013689254
1705,GP,White,46,1,27,9,1,0.079397673
1706,KZN,Silver,195,1,24,5,2,0.446269678
1707,WC,White,122,1,29,11,1,0.057494867
1708,MP,Blue,49,1,64,44,0,0.065708419
1709,GP,Silver,73,1,45,25,1,0.046543463
1712,KZN,Silver,199,0,72,53,4,0.465434634
1713,WC,White,127,1,68,49,0,0.120465435
1714,WC,White,267,1,21,3,3,0.298425736
1715,WC,Black,56,0,42,23,1,0.281998631
1716,WC,White,202,1,31,13,2,0.391512663
1717,KZN,White,80,1,24,4,0,0.435318275
1718,EC,Blue,251,1,36,17,0,0.1724846
1719,KZN,White,190,0,22,3,0,0.358658453
1720,EC,Silver,152,1,60,42,2,0.150581793
1721,KZN,White,67,0,27,8,2,0.317590691
1722,FS,White,265,0,26,8,1,0.161533196
1723,NW,Silver,174,1,32,14,0,0.290212183
1724,EC,White,121,0,23,4,1,0.150581793
1725,FS,White,104,1,20,2,0,0.265571526
1726,EC,Green,87,0,24,6,3,0.476386037
1727,WC,Yellow,58,0,43,25,1,0.153319644
1728,FS,Silver,128,1,53,34,1,0.10403833
1729,WC,Red,108,0,35,17,1,0.03559206
1730,WC,Silver,70,1,38,20,0,0.344969199
1731,FS,Green,115,0,50,32,0,0.41889117
1732,KZN,Red,147,1,26,7,5,0.142368241
1733,WC,Red,208,1,84,65,0,0.098562628
1734,NW,White,136,1,60,41,1,0.473648186
1735,KZN,Red,97,0,73,55,1,0.287474333
1736,GP,Red,59,0,28,9,0,0.476386037
1737,MP,White,201,0,49,30,0,0.301163587
1738,GP,Blue,64,0,45,27,1,0.246406571
1739,EC,White,137,0,41,22,0,0.136892539
1740,KZN,Black,136,1,78,60,1,0.043805613
1741,GP,White,55,0,62,44,2,0.476386037
1742,MP,Red,59,0,59,41,1,0.41615332
1743,FS,Red,203,1,36,18,1,0.090349076
1744,KZN,White,63,0,34,15,1,0.476386037
1745,GP,Black,112,1,46,28,0,0.024640657
1746,FS,White,96,1,72,53,4,0.339493498
1747,FS,Silver,162,1,65,47,0,0.476386037
1748,EC,Red,165,0,36,17,1,0.459958932
1749,FS,White,143,0,86,68,4,0.145106092
1750,GP,White,161,1,72,53,1,0.454483231
1751,FS,White,184,1,41,23,1,0.062970568
1752,KZN,Black,64,0,60,41,2,0.093086927
1753,NW,Red,78,0,32,14,0,0.095824778
1754,MP,White,264,0,28,9,1,0.350444901
1755,KZN,Black,131,0,42,23,3,0.290212183
1756,GP,Black,47,1,26,7,4,0.391512663
1757,NW,Yellow,137,1,21,2,1,0.142368241
1758,EC,Black,109,1,24,6,0,0.41889117
1759,WC,White,101,0,73,55,0,0.454483231
1760,GP,White,95,0,86,67,1,0.076659822
1761,GP,White,185,0,48,30,0,0.032854209
1762,NW,White,70,1,24,6,2,0.197125257
1763,GP,Blue,62,0,46,28,0,0.10403833
1765,NW,White,134,0,45,26,1,0.03559206
1766,FS,White,208,0,21,3,1,0.265571526
1767,WC,Green,109,0,82,64,1,0.052019165
1768,KZN,White,32,0,47,28,0,0.331279945
1769,WC,Black,111,1,24,5,0,0.041067762
1770,WC,Black,268,0,20,2,2,0.158795346
1771,LIM,Black,42,0,63,44,2,0.265571526
1772,WC,Red,73,0,45,27,1,0.216290212
1773,FS,Black,79,1,62,43,1,0.038329911
1774,WC,White,65,0,32,14,1,0.27926078
1775,GP,Black,55,0,22,3,1,0.019164956
1776,EC,Silver,237,0,87,68,3,0.07118412
1777,EC,Red,166,0,30,12,0,0.090349076
1778,WC,Yellow,62,1,41,23,0,0.287474333
1779,GP,White,116,1,45,26,2,0.106776181
1780,MP,White,91,1,47,28,1,0.008213552
1781,WC,Black,206,0,67,49,3,0.114989733
1782,MP,Yellow,111,1,55,37,4,0.254620123
1783,WC,White,102,1,41,23,2,0.191649555
1784,WC,Red,196,1,80,57,2,0.156057495
1785,WC,Silver,58,0,81,63,1,0.027378508
1786,GP,Silver,200,0,82,64,1,0.183436003
1787,WC,Black,167,1,33,15,0,0.298425736
1788,FS,Red,106,1,28,10,1,0.265571526
1789,KZN,Yellow,134,0,25,7,0,0.098562628
1791,GP,White,75,0,29,10,1,0.046543463
1792,FS,White,50,1,31,13,1,0.375085558
1793,WC,Black,54,1,26,8,4,0.095824778
1794,KZN,Red,173,1,25,7,1,0.369609856
1795,FS,White,131,1,28,10,0,0.361396304
1796,WC,White,159,0,66,46,0,0.358658453
1797,MP,Yellow,141,1,56,38,1,0.462696783
1798,KZN,Red,97,1,26,8,1,0.164271047
1799,WC,Red,185,0,82,63,0,0.128678987
1800,GP,Yellow,213,0,56,36,3,0.224503765
1801,KZN,White,82,0,29,10,1,0.292950034
1802,WC,Black,63,0,66,48,0,0.145106092
1803,LIM,Black,53,0,28,10,3,0.030116359
1804,FS,Silver,197,0,58,39,1,0.134154689
1805,WC,Yellow,178,1,21,3,1,0.224503765
1806,EC,Black,80,0,22,4,2,0.167008898
1807,NW,Black,252,0,18,0,1,0.402464066
1808,WC,Green,186,0,73,54,1,0.424366872
1809,GP,White,170,0,18,0,1,0.41615332
1810,NW,Silver,90,1,52,34,1,0.073921971
1811,EC,White,191,0,18,0,3,0.48733744
1812,WC,Red,65,0,32,13,3,0.224503765
1814,NW,White,137,0,73,54,1,0.465434634
1815,MP,White,84,0,38,20,3,0.271047228
1816,WC,Blue,144,1,64,45,1,0.251882272
1817,WC,White,129,0,38,20,4,0.120465435
1818,FS,White,116,0,29,10,0,0.114989733
1819,WC,Blue,152,0,65,47,2,0.076659822
1820,KZN,Red,137,1,63,44,1,0.459958932
1821,KZN,Black,153,1,65,45,2,0.317590691
1822,WC,White,95,0,55,36,1,0.309377139
1823,WC,Silver,264,0,66,47,0,0.128678987
1824,WC,Silver,105,0,31,13,4,0.27652293
1825,MP,White,85,1,67,49,1,0.093086927
1826,NW,Blue,95,0,77,58,0,0.101300479
1827,KZN,Blue,79,1,83,65,1,0.10403833
1829,EC,Green,176,1,35,16,0,0.443531828
1830,EC,Black,125,0,86,68,4,0.101300479
1831,FS,Black,97,1,32,13,1,0.123203285
1832,MP,White,85,1,22,3,1,0.435318275
1833,WC,Black,100,1,51,31,0,0.082135524
1834,KZN,Red,60,0,69,50,0,0.364134155
1835,EC,Blue,207,1,44,26,0,0.213552361
1836,EC,Blue,192,0,45,26,1,0.271047228
1837,GP,Silver,178,0,52,33,1,0.169746749
1838,GP,Blue,61,0,69,51,2,0.210814511
1839,MP,Red,65,1,21,3,0,0.262833676
1840,EC,Green,98,1,28,10,0,0.10403833
1841,NW,Black,89,0,52,33,1,0.369609856
1842,WC,White,132,1,30,10,0,0.366872005
1843,FS,White,74,1,25,6,1,0.183436003
1844,FS,White,163,0,61,42,0,0.364134155
1846,KZN,White,122,0,26,8,1,0.019164956
1847,FS,White,162,0,38,20,3,0.281998631
1848,WC,Silver,101,0,25,5,1,0.158795346
1849,WC,Silver,291,1,52,33,0,0.391512663
1850,EC,Blue,171,0,44,26,1,0.402464066
1851,EC,White,104,1,86,68,1,0.292950034
1852,EC,Red,97,1,53,35,0,0.325804244
1853,WC,White,54,1,32,14,0,0.093086927
1854,WC,Black,80,0,79,61,0,0.021902806
1855,NW,Black,194,0,43,25,3,0.358658453
1856,KZN,Silver,193,1,65,47,0,0.156057495
1857,FS,White,133,0,51,33,1,0.424366872
1858,EC,Black,172,0,80,61,1,0.010951403
1859,GP,Yellow,146,0,30,11,0,0.17522245
1860,WC,Green,137,1,27,9,0,0.413415469
1861,WC,White,210,1,24,5,1,0.372347707
1862,FS,White,272,0,43,24,2,0.396988364
1863,NW,Silver,107,0,23,5,0,0.112251882
1864,GP,White,118,1,85,66,1,0.076659822
1866,GP,Red,119,0,21,2,1,0.164271047
1867,KZN,Black,87,0,79,61,0,0.057494867
1868,KZN,Yellow,90,0,22,4,1,0.147843943
1869,WC,Green,173,0,30,11,3,0.325804244
1870,FS,Blue,188,0,42,23,1,0.38329911
1871,WC,Red,64,0,86,66,0,0.446269678
1872,GP,Red,132,1,78,58,1,0.257357974
1873,EC,Black,123,1,23,5,0,0.202600958
1874,NW,White,161,0,52,33,0,0.125941136
1875,KZN,Red,90,1,78,60,1,0.492813142
1876,MP,Silver,85,0,71,52,0,0.405201916
1877,KZN,Silver,204,1,75,57,1,0.271047228
1878,KZN,Blue,171,0,22,4,0,0.109514031
1879,EC,White,146,0,50,32,2,0.262833676
1880,WC,Black,163,1,37,18,0,0.292950034
1881,GP,Red,140,0,38,20,2,0.435318275
1882,KZN,Yellow,215,0,69,51,1,0.167008898
1883,WC,Green,122,0,30,11,1,0.34770705
1884,GP,White,54,0,67,49,2,0.405201916
1885,WC,Red,134,0,42,24,2,0.45174538
1886,KZN,White,43,1,66,48,2,0.325804244
1887,KZN,Red,133,0,77,59,3,0.202600958
1888,WC,Black,132,1,80,62,2,0.31211499
1889,NW,Red,155,0,54,36,1,0.45174538
1890,FS,Red,118,0,49,30,0,0.454483231
1891,WC,Silver,70,0,59,41,1,0.328542094
1892,KZN,White,96,1,35,17,3,0.295687885
1893,WC,Green,73,1,28,9,2,0.325804244
1894,KZN,White,52,0,22,4,2,0.402464066
1895,GP,White,90,0,59,41,1,0.435318275
1896,WC,White,90,1,70,52,1,0.295687885
1897,KZN,White,136,1,20,2,1,0.262833676
1898,WC,Blue,135,0,18,0,2,0.405201916
1899,WC,White,116,1,38,20,2,0.147843943
1900,WC,Blue,123,0,26,8,1,0.205338809
1901,KZN,Silver,193,1,56,37,1,0.45174538
1902,WC,Black,173,0,54,35,1,0.065708419
1903,GP,Yellow,121,1,31,12,0,0.301163587
1904,FS,White,112,1,64,46,1,0.490075291
1905,GP,Black,163,1,25,6,0,0.268309377
1906,KZN,Red,61,0,25,7,2,0.481861739
1907,GP,White,45,0,86,68,3,0.229979466
1908,WC,Black,90,1,74,56,0,0.098562628
1909,EC,Green,61,1,46,28,0,0.093086927
1910,GP,Green,247,0,56,37,3,0.358658453
1911,FS,Red,103,1,54,36,1,0.038329911
1912,EC,White,56,0,22,2,3,0.320328542
1914,GP,White,102,0,78,60,0,0.303901437
1915,WC,White,62,1,69,51,0,0.232717317
1916,NW,Green,47,0,43,25,1,0.106776181
1917,WC,White,42,0,70,52,1,0.446269678
1918,EC,Blue,232,0,36,18,1,0.492813142
1919,KZN,White,169,0,56,37,0,0.221765914
1920,EC,Red,153,0,33,15,1,0.405201916
1921,NW,Green,115,0,24,6,0,0.399726215
1922,KZN,White,169,1,30,12,3,0.339493498
1923,EC,Silver,120,1,43,24,1,0.446269678
1924,GP,White,156,0,20,2,4,0.386036961
1925,MP,Black,206,1,54,35,1,0.446269678
1926,EC,Black,108,0,43,24,1,0.484599589
1927,GP,Blue,178,1,24,6,2,0.079397673
1928,KZN,Black,94,0,55,36,1,0.062970568
1929,EC,White,74,0,65,46,0,0.169746749
1930,EC,Black,102,1,49,30,1,0.298425736
1931,NW,Black,179,1,77,58,0,0.205338809
1932,MP,White,143,0,58,40,0,0.194387406
1933,WC,Green,98,0,80,61,1,0.325804244
1934,WC,White,198,0,20,1,3,0.005475702
1935,FS,White,79,1,74,56,2,0.057494867
1936,KZN,White,219,1,46,27,1,0.065708419
1937,WC,White,59,0,27,9,1,0.147843943
1938,WC,Green,120,0,29,11,4,0.446269678
1939,GP,Red,67,0,69,51,1,0.084873374
1940,WC,Silver,53,0,20,1,1,0.134154689
1941,KZN,Red,104,0,19,1,0,0.021902806
1942,WC,Red,164,1,38,19,2,0.109514031
1943,WC,Black,255,0,34,15,0,0.405201916
1944,WC,White,120,0,22,4,1,0.457221081
1945,WC,White,161,0,60,41,1,0.449007529
1946,WC,Yellow,124,0,55,37,1,0.372347707
1947,MP,Yellow,271,0,59,41,0,0.284736482
1948,FS,Yellow,46,1,31,12,1,0.07118412
1949,FS,Silver,149,1,18,0,4,0.320328542
1950,FS,White,124,1,23,4,0,0.394250513
1951,KZN,Red,119,1,61,43,1,0.246406571
1952,EC,White,247,0,76,58,1,0.251882272
1953,WC,White,57,0,26,8,2,0.301163587
1954,WC,Yellow,66,1,75,57,0,0.41889117
1955,WC,Silver,147,0,70,52,1,0.492813142
1956,EC,White,51,0,71,51,0,0.484599589
1957,GP,Silver,85,0,23,5,3,0.41615332
1958,NW,Silver,61,0,19,1,0,0.355920602
1959,GP,White,195,1,23,3,2,0.024640657
1960,NW,Yellow,250,0,43,25,1,0.41889117
1961,WC,Black,138,1,33,15,1,0.093086927
1962,FS,Red,160,0,84,65,1,0.235455168
1963,KZN,White,193,1,29,11,3,0.249144422
1964,GP,Silver,132,0,68,50,0,0.021902806
1966,FS,Black,149,1,64,46,1,0.281998631
1967,GP,White,43,0,44,26,0,0.210814511
1968,GP,Black,162,1,30,12,0,0.339493498
1969,KZN,Blue,70,1,25,6,1,0.361396304
1970,GP,White,137,1,48,29,1,0.257357974
1971,WC,Black,86,1,30,11,0,0.435318275
1972,NW,Silver,184,1,79,61,2,0.221765914
1973,GP,White,193,0,49,31,1,0.219028063
1974,KZN,Red,52,0,25,7,1,0.169746749
1975,FS,Red,175,0,27,7,1,0.194387406
1976,GP,Red,108,1,59,41,0,0.219028063
1977,WC,Green,114,1,51,33,4,0.309377139
1978,GP,Red,86,0,20,1,1,0.407939767
1979,WC,White,77,1,59,41,0,0.213552361
1980,KZN,White,136,0,22,4,0,0.251882272
1981,GP,Blue,111,1,32,13,0,0.396988364
1982,MP,Blue,131,1,58,39,0,0.45174538
1983,FS,Yellow,113,0,82,64,0,0.251882272
1984,LIM,Black,84,0,22,4,1,0.334017796
1985,WC,Black,105,1,22,4,0,0.38329911
1986,NW,White,143,0,75,56,3,0.106776181
1987,WC,Red,92,0,78,60,4,0.290212183
1988,GP,Red,301,1,68,50,2,0.090349076
1989,WC,Red,91,1,21,3,3,0.120465435
1990,WC,White,120,1,41,22,2,0.479123888
1991,WC,White,70,0,25,7,1,0.136892539
1992,MP,Red,192,0,86,66,1,0.202600958
1993,KZN,White,143,0,86,67,1,0.169746749
1994,EC,White,105,0,60,42,2,0.470910335
1995,EC,Silver,134,0,36,17,1,0.339493498
1996,EC,Green,151,1,64,45,2,0.290212183
1997,FS,Red,214,1,35,16,1,0.358658453
1998,KZN,White,184,1,34,16,0,0.057494867
1999,GP,Red,95,0,68,50,0,0.377823409
2000,WC,Black,44,1,20,1,0,0.114989733
2001,WC,Red,83,0,26,7,5,0.251882272
2002,NW,Silver,112,0,80,61,1,0.375085558
2003,GP,Red,212,1,19,0,0,0.002737851
2004,KZN,White,50,0,61,43,1,0.358658453
2005,EC,Black,113,1,23,4,0,0.479123888
2006,WC,White,49,0,39,21,2,0.31211499
2007,EC,Red,103,1,74,55,1,0.473648186
2008,EC,Black,119,1,50,31,2,0.095824778
2009,WC,Red,63,1,31,12,3,0.202600958
2010,MP,Blue,212,1,27,9,0,0.369609856
2011,LIM,Red,92,0,23,4,0,0.336755647
2012,FS,Black,51,0,44,25,0,0.057494867
2013,GP,White,176,1,84,65,2,0.339493498
2014,FS,Silver,78,0,37,19,0,0.125941136
2015,EC,Red,106,1,70,51,1,0.197125257
2016,WC,White,240,0,50,31,1,0.31211499
2017,KZN,White,144,1,73,54,0,0.429842574
2018,WC,White,154,0,27,9,0,0.161533196
2019,GP,White,398,0,78,60,1,0.38329911
2020,WC,White,212,1,43,25,0,0.331279945
2021,WC,White,163,1,44,25,2,0.246406571
2022,WC,Green,84,0,18,0,1,0.490075291
2023,MP,Red,119,1,41,23,1,0.27652293
2024,FS,Red,170,0,32,13,1,0.20807666
2025,NW,Blue,121,0,32,14,1,0.205338809
2026,KZN,White,164,0,32,12,0,0.10403833
2028,KZN,White,188,0,39,20,1,0.224503765
2029,KZN,Yellow,94,0,20,2,1,0.227241615
2030,KZN,White,142,0,60,41,1,0.076659822
2031,KZN,White,128,1,24,6,0,0.158795346
2032,FS,Red,136,1,35,17,1,0.262833676
2033,WC,Black,61,1,24,5,1,0.10403833
2034,KZN,Green,160,0,24,5,2,0.429842574
2035,NW,Blue,59,1,35,16,0,0.328542094
2036,GP,White,288,0,73,55,1,0.317590691
2037,GP,Red,139,0,22,2,0,0.060232717
2039,GP,Red,95,0,21,3,1,0.199863107
2040,GP,Silver,79,1,22,4,4,0.48733744
2042,EC,White,74,1,78,60,1,0.372347707
2043,EC,Black,225,0,54,36,1,0.355920602
2044,GP,Red,155,0,46,27,1,0.481861739
2045,EC,Silver,107,0,77,59,0,0.388774812
2046,WC,Black,179,1,46,28,1,0.323066393
2047,GP,White,85,1,41,22,1,0.084873374
2048,EC,Blue,99,1,24,5,0,0.10403833
2049,KZN,Green,73,0,60,41,0,0.090349076
2050,WC,White,45,0,60,42,1,0.470910335
2051,KZN,Green,98,1,23,5,0,0.169746749
2052,EC,Red,76,0,60,42,1,0.344969199
2053,NW,Green,106,0,32,14,1,0.145106092
2054,MP,Red,122,1,80,62,2,0.290212183
2055,EC,White,236,1,24,5,2,0.454483231
2056,NW,Green,89,1,77,58,1,0.224503765
2057,FS,Black,221,0,28,10,4,0.041067762
2058,KZN,White,155,0,26,8,2,0.177960301
2059,WC,Green,281,0,41,22,0,0.465434634
2060,KZN,Blue,259,0,48,30,1,0.440793977
2061,NW,White,154,0,48,29,1,0.476386037
2062,GP,Green,123,1,42,24,0,0.339493498
2063,WC,Red,88,0,30,10,3,0.459958932
2064,KZN,Silver,77,0,24,4,2,0.232717317
2065,NW,White,146,0,80,60,0,0.227241615
2066,EC,Yellow,101,1,28,9,0,0.109514031
2067,KZN,Green,238,0,30,11,4,0.375085558
2071,KZN,Silver,200,0,24,5,2,0.145106092
2072,KZN,Black,87,1,45,27,1,0.090349076
2073,GP,Black,82,0,44,25,0,0.457221081
2074,GP,Black,167,1,55,37,1,0.238193018
2075,GP,Black,59,0,53,34,0,0.342231348
2076,WC,Yellow,119,1,24,6,2,0.284736482
2077,GP,Blue,85,1,38,19,2,0.281998631
2078,NW,White,74,0,86,67,1,0.142368241
2079,GP,White,75,0,76,57,3,0.134154689
2080,WC,Red,135,1,42,24,4,0.161533196
2081,WC,Red,149,1,22,3,1,0.240930869
2082,NW,Yellow,137,1,24,5,0,0.161533196
2083,WC,Yellow,90,1,44,26,2,0.205338809
2084,KZN,Silver,62,1,46,28,0,0.344969199
2085,WC,Black,72,0,48,29,1,0.1724846
2086,FS,Black,116,0,50,30,0,0.492813142
2087,NW,Green,208,1,49,31,1,0.440793977
2088,WC,White,94,1,61,43,1,0.093086927
2089,GP,Green,145,0,62,43,0,0.292950034
2090,GP,White,110,1,78,59,0,0.424366872
2091,GP,Yellow,66,0,60,41,3,0.221765914
2092,WC,White,165,0,45,27,1,0.457221081
2093,GP,Black,102,1,74,55,2,0.380561259
2095,WC,Red,135,1,79,61,1,0.062970568
2096,WC,White,52,0,23,3,1,0.369609856
2097,WC,Green,108,0,79,61,1,0.120465435
2098,EC,Green,142,1,60,41,0,0.481861739
2099,EC,White,69,0,65,46,2,0.043805613
2100,KZN,White,131,1,39,21,0,0.060232717
2101,WC,White,140,0,48,29,5,0.465434634
2102,WC,Black,356,0,25,7,0,0.361396304
